,A2058_SKIN ,A2780_OVARY ,A375_SKIN ,A427_LUNG ,CAOV3_OVARY ,COLO320_LARGE_INTESTINE ,DLD1_LARGE_INTESTINE ,EFM192A_BREAST ,ES2_OVARY ,HCT116_LARGE_INTESTINE ,HT144_SKIN ,HT29_LARGE_INTESTINE ,KPL1_BREAST ,LOVO_LARGE_INTESTINE ,MDAMB436_BREAST ,MSTO211H_PLEURA ,NCIH1650_LUNG ,NCIH2122_LUNG ,NCIH23_LUNG ,NCIH460_LUNG ,NCIH520_LUNG ,OV90_OVARY ,OVCAR4_OVARY ,PA1_OVARY ,RKO_LARGE_INTESTINE ,RPMI7951_SKIN ,SKMEL30_SKIN ,SKMES1_LUNG ,SKOV3_OVARY ,SW620_LARGE_INTESTINE ,SW837_LARGE_INTESTINE ,T47D_BREAST ,UACC62_SKIN ,VCAP_PROSTATE ,ZR751_BREAST 
HNRNPA1P7,3.835511,7.1745105,7.7642503,1.9328164,2.1450272,6.525034,0.21130516,1.1286037,3.2265716,4.8858237,3.5020087,3.5213652,2.5350676,6.2255964,1.5875016,5.8454123,1.7532399,1.881632,1.5143656,3.6318414,6.6130233,1.4344939,1.0371315,0.45741037,2.9539635,1.8471799,2.7507572,0.752083,3.8214252,6.226014,2.8253636,1.6607727,2.5010986,3.2798243,1.9965531
RPL3P4,3.9327388,4.7677326,5.694735,1.8709219,3.2206542,5.5589385,0.06344746,1.0994743,5.899991,3.092616,4.8166747,4.2126412,3.5326507,9.662585,2.9383214,4.947801,2.0474076,3.3220844,1.045561,3.4957452,5.068556,2.5564015,2.5373075,0.06489434,5.207135,4.7739186,4.371429,1.2663013,3.285928,3.6860454,3.8186128,2.1671677,5.9408827,5.125398,7.9085426
RPL32,4.1687083,3.3340387,7.4143295,2.045928,3.5667002,4.6703563,7.1876097,1.5886077,3.9173822,3.8022852,6.195469,2.739857,5.711843,3.7419255,5.389257,3.9700909,2.6874223,2.297684,1.7259805,2.8689132,5.924297,1.6858681,1.8559527,7.8841777,8.548351,4.8599215,3.1204607,1.1316897,3.1919327,4.504138,1.6918992,3.650536,3.5955758,5.3617487,8.305716
PABPC1,3.0205255,2.7195206,4.966283,1.0840944,2.4921186,2.7827573,6.123372,0.51892394,4.4296694,8.693783,2.7147925,3.491117,3.7145846,4.086692,1.2511574,4.8392954,6.5869875,1.7796772,1.4908873,1.5298777,4.925887,1.3251517,1.5246738,8.188518,2.926047,2.5589163,2.495816,0.9138499,2.543685,2.2615657,3.7719698,1.6260012,2.7711213,6.298092,3.2079039
HLA-B,0.27723968,2.41318,0.9659579,0.23047252,2.8417857,-0.0467744,0.65362036,0.6168646,0.16050224,0.44826025,2.1831715,-0.018779196,-0.0014068021,0.58819515,3.108821,3.9863956,0.45020702,0.111127704,0.48955223,0.024177363,0.03575475,0.06784411,1.1540524,0.4286526,-0.026184045,10.591897,0.8069202,1.555027,3.7484589,0.0075698085,2.361689,1.6920972,0.37547225,-0.02593025,0.067444235
PODXL,0.2434442,-0.0726634,0.09099338,-0.017078212,0.286446,-0.04992521,0.3177858,-0.03165172,-0.024316695,0.170298,0.10107294,0.31189856,0.047233317,0.37075108,0.18630362,-0.018386122,-0.040755525,-0.0031223658,-0.007124537,-0.046705987,-0.019027906,0.04509909,0.13630262,11.639048,0.0028043443,0.39439002,-0.08167744,-0.015869252,0.87609273,-0.043306474,0.28700635,-0.045444123,0.028720327,0.019971615,-0.06897415
CTD-2031P19.4,4.091934,3.470654,5.771983,3.078248,2.6587982,7.2403493,0.26049194,3.404713,4.702589,1.5624856,4.178095,3.0394478,6.7859526,6.310572,1.5260065,3.4437327,2.357388,2.772139,1.3136585,3.3553984,3.914027,3.2336552,2.3058271,0.30584455,8.255473,4.2325463,4.0739727,1.3075407,3.783049,7.0969157,2.1735873,3.193846,2.522326,4.1760306,6.482798
SLC7A5,5.0507436,1.6371994,2.767021,0.20756188,1.6808482,1.0318018,1.7362933,1.2754873,0.45052075,3.074151,1.6370473,0.6338035,0.6891297,0.9682214,0.8970778,0.8758628,3.654157,1.789974,0.31121755,0.9101337,9.892606,0.41841552,0.45364887,3.0800996,0.16877909,1.0974673,2.040471,0.012488166,5.627632,1.6539891,1.7019455,0.40265498,0.64612865,-0.06851932,1.1087787
NKD1,-0.093833715,-0.064729534,-0.11408805,-0.03840641,-0.07457243,0.38410482,-0.070878714,-0.044474438,-0.06318863,-0.07854564,-0.08678731,-0.07289293,-0.065972604,-0.054224264,-0.071842656,-0.089231186,-0.06884251,-0.06022644,-0.04036801,-0.066067874,10.485644,-0.06616932,-0.04441611,-0.08790793,-0.07782672,0.05403648,-0.07088839,-0.05252491,-0.090826504,4.8293486,-0.0026896133,-0.060305797,-0.07069086,-0.07249753,-0.08514141
CTSD,1.5770136,0.24838491,1.0903642,0.43721417,1.2290854,0.6582183,2.8489983,2.3441527,0.43176243,0.4042722,3.335413,1.5672106,2.9938257,0.59604,3.1818044,0.8730743,1.1170268,3.2367089,0.21686327,0.95944417,0.31981078,0.832613,0.34560385,0.97080004,0.12337435,2.4744706,3.3897672,3.4785194,6.3170266,0.71822965,1.0920495,8.115211,0.59365934,0.56283313,6.606474
