,A2058_SKIN ,A2780_OVARY ,A375_SKIN ,A427_LUNG ,CAOV3_OVARY ,COLO320_LARGE_INTESTINE ,EFM192A_BREAST ,ES2_OVARY ,HCT116_LARGE_INTESTINE ,HT144_SKIN ,HT29_LARGE_INTESTINE ,KPL1_BREAST ,LOVO_LARGE_INTESTINE ,MDAMB436_BREAST ,MSTO211H_PLEURA ,NCIH1650_LUNG ,NCIH2122_LUNG ,NCIH23_LUNG ,NCIH460_LUNG ,NCIH520_LUNG ,OV90_OVARY ,OVCAR4_OVARY ,RKO_LARGE_INTESTINE ,RPMI7951_SKIN ,SKMEL30_SKIN ,SKMES1_LUNG ,SKOV3_OVARY ,SW620_LARGE_INTESTINE ,SW837_LARGE_INTESTINE ,T47D_BREAST ,UACC62_SKIN ,VCAP_PROSTATE ,ZR751_BREAST ,DLD1_LARGE_INTESTINE ,PA1_OVARY 
SGSM3,0.23596011,0.1696107,0.065742746,0.0695349,0.20360927,0.12904252,0.046051018,0.064515196,0.11161722,0.21771283,0.25381026,0.107829064,0.07867592,0.03803684,0.038164373,0.11607515,0.07070954,-0.010500679,0.029177954,0.16515794,0.06531289,0.07556311,0.11694198,0.2173748,0.20033039,0.022555675,0.37887332,0.07469847,0.050248668,0.32908264,0.20624463,0.20404951,0.25955656,0.18540102,0.3062644
PCED1A,0.11285874,0.09821425,0.16275468,0.016322944,0.06415252,0.15085429,-0.003400095,0.088711694,-0.047696643,0.08306416,0.03815167,0.014982059,0.017482627,0.1283266,0.051764444,0.0815024,0.0391159,-0.021843778,-0.032462247,0.09181709,0.059854206,0.002111255,0.10960969,0.51540965,0.13117576,0.06365125,0.08280119,0.20008363,0.01739193,0.12404863,0.018649822,0.11160066,0.07153362,-0.03321849,0.10277428
C6orf1,0.1583648,-0.039945416,0.052539337,0.14187512,-0.012167221,-0.024389973,0.017019749,0.26007712,-0.044010278,0.21412951,-0.039027173,-0.008247913,-0.025775282,0.030103758,0.06611995,-0.052998587,-0.045375146,-0.002383442,-0.006987508,0.016090175,-0.04095845,-0.008640545,0.030388273,0.29422978,0.25527856,0.063576914,0.024419967,-0.030564686,-0.053307965,0.009146255,0.110691875,0.08505381,-0.03025207,0.005992086,-0.060653985
MRPL21,0.14024758,0.14854975,0.30282265,0.09326849,0.104672626,0.07776813,0.037379693,0.0915883,0.1376142,0.105426304,0.16752344,0.15022917,0.07301053,0.040861968,0.20522426,0.11425961,0.10086722,0.2160799,0.15804408,0.23199831,0.14173213,0.060425565,0.2109259,0.095088,0.35204452,0.059480548,0.10552568,0.30654904,0.28269854,0.10767272,0.2419116,0.17585948,0.47843465,0.092239685,0.19484353
ARFRP1,0.090876855,0.105918884,0.21747178,0.103026316,0.1466361,0.043768868,0.08850233,0.15005036,0.044937912,0.4172506,0.2061234,0.10861186,0.015972843,0.09030725,0.04288051,0.14941138,0.07681314,0.04112398,0.05189766,0.03713475,0.105958976,0.08359305,0.15450186,0.39252064,0.05046871,0.05194204,0.32603672,0.2101541,0.11671406,0.07459404,0.07364273,0.088445306,0.061517842,0.050275568,0.033848617
BANF1P3,0.1370371,0.2651772,0.19106092,0.18599066,0.09058749,0.09742738,0.04502337,0.23550425,-0.03022875,0.14764045,0.19515999,0.172243,0.044091664,0.22452454,0.071818456,0.09849005,0.024807392,0.01944762,0.103930205,0.18715005,0.15037923,0.14685555,0.06753571,0.17781796,0.23309778,0.10405209,0.31967402,0.33432806,0.08607206,0.21269618,0.09454462,0.28445056,0.18136433,-0.04522072,-0.04021396
EMB,0.00674965,0.09087751,0.102486074,0.19311118,0.06317166,-0.05502893,-0.008931172,-0.06315219,0.012948875,0.017234338,-0.075427726,0.043930817,-0.026287025,0.008247544,0.083002605,-0.003541119,0.10979769,-0.03462658,-0.014633269,-0.022064166,-0.060502604,-0.043955706,-0.007703683,-0.09144642,-0.07842902,0.064403795,-0.10152822,-0.08212702,0.25103757,-0.05727873,0.04778436,0.09814738,0.28824782,-0.09462954,-0.11534482
CSF3,-0.0938026,-0.07796929,-0.11804383,-0.059681393,-0.077453956,-0.07056466,-0.0455337,-0.052267566,-0.098097876,-0.10265752,-0.07606316,-0.067275435,-0.06812426,0.09916714,0.4568902,-0.08065916,-0.060917284,-0.045216423,-0.06723752,-0.10117435,-0.06577777,-0.046380784,-0.08876228,-0.09169465,-0.08288683,-0.05222445,-0.10239004,-0.08169693,-0.08374223,-0.060707267,-0.08269952,-0.075215526,-0.09955457,-0.09462954,-0.11536156
RCE1,0.08275632,0.09733031,0.1258187,0.2752114,0.23885678,0.019122433,0.004396088,0.063696995,0.21894763,0.056509178,0.18362805,0.16985863,0.08403331,0.20633546,0.030000659,0.18550876,0.024067143,0.054378603,0.064475596,0.09872361,0.08158646,0.028390586,0.07347135,0.04977536,0.47783768,0.06643357,0.16233411,0.15842812,0.21133275,0.09906098,-0.011714657,0.16712677,0.20309626,0.07280126,0.0775522
CUTC,0.17969918,0.113950096,0.21656346,0.04325826,0.07357542,0.090918444,0.04149778,0.095739186,0.41577092,0.011098052,0.010154546,0.000967821,0.000965001,0.19453861,0.00892508,0.022886096,0.10102105,-0.000573086,0.32197076,0.018440448,0.001421013,0.008226968,0.15159985,0.062140938,0.1453449,0.011866245,0.04790196,0.14376742,0.059516408,0.08832152,-0.014029721,-0.005358111,0.06650518,0.15840457,0.15120201
